iter	Passed	Remaining
300	155987	362242
301	156447	361590
302	157055	361279
303	157621	360869
304	158064	360179
305	158566	359623
306	159087	359111
307	159714	358838
308	160386	358662
309	161166	358724
310	161674	358179
311	162225	357728
312	162872	357486
313	163690	357616
314	164160	356982
315	164596	356277
316	165109	355740
317	165580	355112
318	166064	354514
319	166524	353863
320	167048	353351
321	167828	353377
322	168378	352917
323	168938	352476
324	169417	351868
325	169947	351364
326	170460	350825
327	171024	350392
328	171591	349963
329	172107	349430
330	172643	348938
331	173205	348497
332	173720	347963
333	174239	347435
334	174789	346969
335	175298	346423
336	176061	346377
337	176648	345980
338	177074	345268
339	177669	344888
340	178289	344553
341	178852	344108
342	179346	343529
343	179955	343171
344	180470	342632
345	181071	342256
346	181622	341785
347	182174	341315
348	182769	340924
349	183630	341027
350	184157	340507
351	184700	340016
352	185207	339459
353	185701	338879
354	186228	338359
355	186740	337810
356	187194	337159
357	187678	336562
358	188165	335972
359	188750	335555
360	189293	335064
361	189853	334603
362	190315	333969
363	190831	333431
364	191312	332831
365	191908	332432
366	192486	332000
367	192989	331439
368	193566	331004
369	194032	330379
370	194570	329878
371	195057	329290
372	195562	328733
373	196075	328190
374	196818	328030
375	197375	327559
376	197905	327042
377	198392	326455
378	198892	325889
379	199373	325293
380	199887	324751
381	200420	324240
382	200986	323782
383	201538	323301
384	202025	322715
385	202627	322314
386	203225	321905
387	203592	321129
388	204009	320436
389	204426	319744
390	204949	319217
391	205587	318871
392	206315	318660
393	206858	318162
394	207348	317584
395	207817	316974
396	208309	316400
397	208804	315829
